"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-04-03,"Jantar","RA","peixe","leguminosas","qua","abr","0","inicio",518,0
2024-04-03,"Jantar","RS","peixe","leguminosas","qua","abr","0","inicio",604,0
2024-04-04,"Almoço","RU","frango","pts_proteina_texturizada","qui","abr","1","inicio",4582,0
2024-04-04,"Almoço","RA","frango","pts_proteina_texturizada","qui","abr","1","inicio",1456,0
2024-04-04,"Almoço","RS","frango","pts_proteina_texturizada","qui","abr","1","inicio",2198,0
2024-04-04,"Jantar","RU","bovino","leguminosas","qui","abr","0","inicio",2969,0
2024-04-04,"Jantar","RA","bovino","leguminosas","qui","abr","0","inicio",883,0
2024-04-04,"Jantar","RS","bovino","leguminosas","qui","abr","0","inicio",1054,0
2024-04-05,"Almoço","RU","bovino","leguminosas","sex","abr","1","inicio",3906,0
2024-04-05,"Almoço","RA","bovino","leguminosas","sex","abr","1","inicio",1234,0
2024-04-05,"Almoço","RS","bovino","leguminosas","sex","abr","1","inicio",1479,0
2024-04-05,"Jantar","RU","frango","leguminosas","sex","abr","0","inicio",2537,0
2024-04-05,"Jantar","RA","frango","leguminosas","sex","abr","0","inicio",626,0
2024-04-05,"Jantar","RS","frango","leguminosas","sex","abr","0","inicio",662,0
2024-04-08,"Almoço","RU","frango","leguminosas","seg","abr","1","inicio",4136,0
2024-04-08,"Almoço","RA","frango","leguminosas","seg","abr","1","inicio",1451,0
2024-04-08,"Almoço","RS","frango","leguminosas","seg","abr","1","inicio",2000,0
2024-04-08,"Jantar","RU","bovino","leguminosas","seg","abr","0","inicio",3109,0
2024-04-08,"Jantar","RA","bovino","leguminosas","seg","abr","0","inicio",830,0
2024-04-08,"Jantar","RS","bovino","leguminosas","seg","abr","0","inicio",1050,0
2024-04-09,"Almoço","RU","suino","pts_proteina_texturizada","ter","abr","1","inicio",4441,0
2024-04-09,"Almoço","RA","suino","pts_proteina_texturizada","ter","abr","1","inicio",1468,0
2024-04-09,"Almoço","RS","suino","pts_proteina_texturizada","ter","abr","1","inicio",2050,0
2024-04-09,"Jantar","RU","frango","leguminosas","ter","abr","0","inicio",3249,0
2024-04-09,"Jantar","RA","frango","leguminosas","ter","abr","0","inicio",926,0
2024-04-09,"Jantar","RS","frango","leguminosas","ter","abr","0","inicio",1173,0
2024-04-10,"Almoço","RU","frango","leguminosas","qua","abr","1","inicio",3842,0
2024-04-10,"Almoço","RA","frango","leguminosas","qua","abr","1","inicio",1425,0
2024-04-10,"Almoço","RS","frango","leguminosas","qua","abr","1","inicio",2302,0
2024-04-10,"Jantar","RU","suino","leguminosas","qua","abr","0","inicio",2865,0
2024-04-10,"Jantar","RA","suino","leguminosas","qua","abr","0","inicio",839,0
2024-04-10,"Jantar","RS","suino","leguminosas","qua","abr","0","inicio",1060,0
2024-04-11,"Almoço","RU","bovino","leguminosas","qui","abr","1","inicio",3639,0
2024-04-11,"Almoço","RA","bovino","leguminosas","qui","abr","1","inicio",1474,0
2024-04-11,"Almoço","RS","bovino","leguminosas","qui","abr","1","inicio",1926,0
2024-04-11,"Jantar","RU","bovino","leguminosas","qui","abr","0","inicio",2579,0
2024-04-11,"Jantar","RA","bovino","leguminosas","qui","abr","0","inicio",855,0
2024-04-11,"Jantar","RS","bovino","leguminosas","qui","abr","0","inicio",972,0
2024-04-12,"Almoço","RU","feijoada","pts_proteina_texturizada","sex","abr","1","meio",5026,0
2024-04-12,"Almoço","RA","feijoada","pts_proteina_texturizada","sex","abr","1","meio",1315,0
2024-04-12,"Almoço","RS","feijoada","pts_proteina_texturizada","sex","abr","1","meio",2253,0
2024-04-12,"Jantar","RU","feijoada","pts_proteina_texturizada","sex","abr","0","meio",2567,0
2024-04-12,"Jantar","RA","feijoada","pts_proteina_texturizada","sex","abr","0","meio",662,0
2024-04-12,"Jantar","RS","feijoada","pts_proteina_texturizada","sex","abr","0","meio",760,0
2024-04-15,"Almoço","RU","peixe","pts_proteina_texturizada","seg","abr","1","meio",3230,0
